objectId,latitude,longitude,postalCode,place
t7RFjg5XK1,46.0531,13.6138,5210,Deskle
KwBWHQPX9C,46.0092,13.5797,5211,Kojsko
1jll8R5uCE,45.9964,13.5264,5212,Dobrovo v Brdih
dQIMLoBUW4,46.0886,13.6397,5213,Kanal
T5npLTsDd3,46.0833,13.7403,5214,Kal nad Kanalom
48ATPC5CcB,46.1128,13.67,5215,Roèinj
KwEkVOOgNS,46.1469,13.7389,5216,Most na Soèi
EUMMenW3FN,46.183,13.7332,5220,Tolmin
yvdrqnwd22,46.2481,13.5772,5222,Kobarid
BtTcEj6paJ,46.2647,13.4278,5223,Breginj
A386uQmasR,46.2917,13.4988,5224,Srpenica
D6pIXfecYJ,46.3375,13.5528,5230,Bovec
hFwDJXFnBM,46.4019,13.5969,5231,Log pod Mangartom
b5ZiFvkLHE,46.3433,13.6564,5232,Soèa
AwpxmwpycW,46.1539,13.8619,5242,Grahovo ob Baèi
hvF533iCUI,46.21,13.9644,5243,Podbrdo
jLGv87d9Mh,45.9714,13.6494,5250,Solkan
Pdg4Mn2Aj8,45.9986,13.6739,5251,Grgar
rz71FvFhWM,45.9742,13.7433,5252,Trnovo pri Gorici
ZQT9pwCiFN,46.0494,13.7969,5253,Èepovan
0T632KVBYM,45.9303,13.7436,5261,Šempas
i34vst4p5a,45.9106,13.7767,5262,Èrnièe
QLyA4bTxoD,45.8839,13.8453,5263,Dobravlje
Ywfrkmm4Nh,45.886,13.9095,5270,Ajdovšèina
wLh5ysT2gX,45.8467,13.9631,5271,Vipava
pAJEufNqqg,45.7969,13.9714,5272,Podnanos
PjmeYZ3bD8,45.8758,14.005,5273,Col
C31YwiX7BA,45.8726,13.9885,5274,Èrni Vrh nad Idrijo
zBzatmuQcj,45.9578,14.0936,5275,Godoviè
HGnDp6suws,46.0028,14.0306,5280,Idrija
w1aikiknSo,46.0319,14.0272,5281,Spodnja Idrija
oo1O7QYGOg,46.1256,13.9817,5282,Cerkno
J7QCCNfn0m,46.1233,13.8047,5283,Slap ob Idrijci
9pyHQYCvZR,45.9275,13.6411,5290,Šempeter pri Gorici
s2OIVfMtWd,45.8956,13.6075,5291,Miren
UCClJXRbFa,45.89,13.6686,5292,Renèe
wSCRHlCdOo,45.9069,13.6775,5293,Volèja Draga
gd9YEA6jTq,45.8897,13.7369,5294,Dornberk
9ryNJA9E4w,45.8572,13.7842,5295,Branik
xFyQwv1thF,45.845,13.6417,5296,Kostanjevica na Krasu
4KdByRxBHB,45.89,13.7181,5297,Prvaèina
ioYln0yDYR,45.956,13.6484,5600,Nova Gorica
Ra4I0rBkKf,45.5538,13.7439,6000,Koper/Capodistria - dostava
ri8Sc4nVIY,45.5472,13.7258,6001,Koper/Capodistria - poštni predali
1WtKNVHGEU,45.7092,13.8733,6210,Sežana
mEr64GCIYx,45.6847,13.9703,6215,Divaèa
RZomszUPzJ,45.5292,13.9528,6216,Podgorje
lCP6veZzcf,45.6571,14.0301,6217,Vremski Britof
62jPuXGz2G,45.6611,13.9281,6219,Lokev
veP84tS6bC,45.7581,13.8322,6221,Dutovlje
ESDDmN3XVf,45.8233,13.8436,6222,Štanjel
5ex4qDWJd0,45.8153,13.7483,6223,Komen
8piBABf01T,45.7211,14.0411,6224,Senožeèe
pv7iMCpt4q,45.7606,14.1064,6225,Hruševje
I8qpbn1QVq,45.7769,14.2167,6230,Postojna
m66KVwtaCh,45.8339,14.2561,6232,Planina
tAGq2eM84A,45.61,13.9356,6240,Kozina
aAfBwsOnR1,45.5814,13.9967,6242,Materija
Tza2DIhYec,45.5425,14.0869,6243,Obrov
ES9gtrcUKP,45.5217,14.1461,6244,Podgrad
vU0T9PYHiP,45.5697,14.2408,6250,Ilirska Bistrica
HArZYfuAaN,45.6192,14.2205,6251,Ilirska Bistrica-Trnovo
Zj6rZxJp9a,45.6245,14.2448,6253,Knežak
3No5jxiRQ6,45.5028,14.2717,6254,Jelšane
2dlr2UCAtY,45.6048,14.1834,6255,Prem
zwSDwdJxq3,45.6192,14.2205,6256,Košana
qvqdgBi4AL,45.6829,14.1959,6257,Pivka
siBqqdwW11,45.7303,14.1862,6258,Prestranek
GiY0YTyptD,45.5497,13.8136,6271,Dekani
JiO6TKtdjX,45.505,13.8769,6272,Graèišèe
22XC3nJfHk,45.5097,13.8031,6273,Marezige
5mw6sRB69O,45.5014,13.7178,6274,Šmarje
nhCGNAM4xd,45.55,13.88,6275,Èrni Kal
Um5JSnfM8j,45.5394,13.7961,6276,Pobegi
xWdKeB8ZwB,45.5664,13.7994,6280,Ankaran/Ancarano
vscjLnYBul,45.5664,13.7994,6281,Škofije
1c2Om9rsbR,45.4955,13.6077,6310,Izola/Isola
mvyy12lR6U,45.5143,13.5921,6320,Portorož/Portorose
ydrBCfMcx1,45.5143,13.5921,6323,Strunjan/Strugnano (sezonska pošta)
bPTjNJwtvn,45.4767,13.6233,6330,Piran/Pirano
PBA0rj9gUP,45.4767,13.6233,6333,Seèovlje/Sicciole
0HfyAD7Lkg,45.8363,15.1899,8000,Novo mesto - dostava
TVpVwN2evS,45.8296,15.1997,8001,Novo mesto - poštni predali
1m4ryPN0kT,45.9042,15.0217,8210,Trebnje
J4b8lFBpp9,45.875,14.98,8211,Dobrniè
vmZcLFMPvC,45.9289,14.9678,8212,Velika Loka
tYVhYVld5u,45.9338,14.9071,8213,Veliki Gaber
LQpCekf3MM,45.8603,15.0833,8216,Mirna Peè
y31BOcnSv7,45.8624,15.2219,8220,Šmarješke Toplice
6uiFG02VBt,45.8675,15.2733,8222,Otoèec
iTJMEVnnJI,45.9342,15.1408,8230,Mokronog
wP6gAkRprl,45.9167,15.15,8231,Trebelno
rv1BW3PCoz,45.9778,15.0956,8232,Šentrupert
pk1PDFyN4n,45.9553,15.0619,8233,Mirna
8QofPcNsc4,45.9033,15.5911,8250,Brežice
lK6iCR8hqJ,45.8894,15.6025,8251,Èatež ob Savi
ft8BwFjp1g,45.9539,15.5878,8253,Artièe
AZJFerDOfF,45.955,15.6286,8254,Globoko
5Ki122pVl2,46.0017,15.6411,8255,Pišece
ghjiKtgAHm,45.9833,15.6,8256,Sromlje
B2PXF2f36D,45.8972,15.6637,8257,Dobova
ZxfffkYWdO,45.9333,15.6833,8258,Kapele
eClCeAY5zP,46.0133,15.6967,8259,Bizeljsko
hbqZHp91jO,45.8917,15.5397,8261,Jesenice na Dolenjskem
bnFoGTzROu,45.9,15.5667,8262,Krška vas
76O5KzlpM1,45.8834,15.5128,8263,Cerklje ob Krki
cnFgtdGk8A,45.9591,15.4917,8270,Krško
KEIsJerQoC,45.9772,15.5458,8272,Zdole
Hp4k3A12gs,45.9357,15.4718,8273,Leskovec pri Krškem
Dh97Ar0sUU,45.9297,15.3842,8274,Raka
6aAgnQiPo6,45.9067,15.2914,8275,Škocjan
zfzfqY80q1,45.9333,15.3167,8276,Buèka
qc3EZK3wVa,45.9953,15.4775,8280,Brestanica
8ORmlIzdeR,46.0236,15.4769,8281,Senovo
fzCig3d61Q,46.0353,15.5403,8282,Koprivnica
HsdRksZZhm,45.9833,15.4,8283,Blanca
SntduigESY,46.0078,15.3156,8290,Sevnica
TjCurKxAGv,46.055,15.3675,8292,Zabukovje
3u2n4TnycD,45.9667,15.35,8293,Studenec
294MzQskN1,46.0144,15.2825,8294,Boštanj
oxlkwafEoB,45.9589,15.1972,8295,Tržišèe
3P3b363GAa,45.9847,15.1894,8296,Krmelj
0WCZ2u97uY,46.0114,15.1672,8297,Šentjanž
tumV7hP2Qp,45.84,15.3361,8310,Šentjernej
3yXFyZ8ezJ,45.8461,15.4222,8311,Kostanjevica na Krki
3e4ggzCa0J,45.8667,15.4667,8312,Podboèje
nvBtgcyx6v,45.7514,15.1715,8321,Brusnice
hTuk2AQsAS,45.7694,15.2097,8322,Stopièe
o9dfGLKD2X,45.7333,15.1333,8323,Uršna sela
bFALFnE0zj,45.6472,15.3142,8330,Metlika
ONeoXuOOuQ,45.5296,14.8708,8331,Suhor
66Kv82w5sN,45.6167,15.25,8332,Gradac
dYspUOwn8C,45.6461,15.1822,8333,Semiè
F3cZ5ApL1D,45.5711,15.1889,8340,Èrnomelj
GgflAn6eqW,45.5222,15.3065,8341,Adlešièi
b6tKf8Xw38,45.4936,15.0772,8342,Stari trg ob Kolpi
6NJN3oWCZe,45.5208,15.1756,8343,Dragatuš
